,0
0,2
1,2
2,0
3,0
4,1
5,0
6,2
7,1
8,2
9,1
10,1
11,0
12,2
13,0
14,1
15,0
16,1
17,0
18,2
19,2
20,1
21,0
22,2
23,0
24,2
25,2
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,2
34,0
35,2
36,1
37,0
38,0
39,0
40,2
41,2
42,0
43,1
44,2
45,1
46,0
47,0
48,0
49,1
50,0
51,2
52,2
53,2
54,2
55,0
56,2
57,1
58,0
59,2
60,2
61,2
62,0
63,2
64,1
65,1
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,0
77,2
78,0
79,0
80,2
81,1
82,2
83,0
84,1
85,2
86,2
87,0
88,2
89,2
90,1
91,0
92,2
93,1
94,0
95,0
96,0
97,2
98,1
99,2
100,1
101,0
102,0
103,1
104,2
105,0
106,1
107,1
108,1
109,0
110,2
111,0
112,1
113,2
114,2
115,1
116,1
117,0
118,2
119,0
120,2
121,2
122,1
123,2
124,2
125,2
126,2
127,2
128,2
129,0
130,0
131,2
132,2
133,0
134,2
135,0
136,2
137,0
138,2
139,2
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,2
148,0
149,2
150,1
151,0
152,2
153,0
154,0
155,2
156,2
157,1
158,1
159,1
